year,Area (1000Ha),Production (1000 Tons),Yield (T/Ha)
2013,"1,120","4,900",4.4
2014,"1,100","4,800",4.4
2015,"1,090","4,700",4.3
2016,"1,170","5,200",4.4
2017,"1,125","5,000",4.4
2018,"1,295","5,600",4.3
2019,"1,215","4,500",3.7
2020,"1,255","5,500",4.4
2021,"1,200","5,300",4.4
2022,"1,180","5,200",4.4
2023,"1,250","5,400",4.3
